abate v.减轻，减退；废除
avail v.有利,有益,有助
availability n.可用性,有效性,可得性,可得到的人(或物)
available a.可用的,可得到的,可达到的；有效的
avenge v.替…报仇
avenue n.林荫路，大街；途径，手段
avert v.转移，防止
aviation n.航空；航空学；飞行术
awkward a.粗笨的，笨拙的，不灵活的；棘手的，为难的，尴尬的
axilla n.腋(窝)
bachelor n.单身汉；学土
bacillus n.(芽胞)杆菌
bacon n.咸肉，熏肉
bacterial a.细菌的
bactericidal a.杀菌的
bacteriology n.细菌学
bacterium n.细菌
badge n.徽章
baffle v.使挫折，阻碍，使困惑n.迷惑；缓冲板；遮护物
bait n.诱饵v.引诱
bakery n.面包房，面包店
balcony n.阳台
balm n.香油，香脂；止痛药膏
bankrupt n.破产者，丧失了名誉的人
a.破产的 v.使破产
bankruquet n.破产
banner n.旗(帜)
banquet n.宴会v.宴请
bar n.棍，横木；障碍；酒吧v.栓上，阻挡，拦住，妨碍
barbarian a.野蛮人的，不文明的
barber n.理发师
barbiturate n.巴比妥盐
bargain v.讨价还价n.廉价货；交易，合同
barley n.大麦
barn n.谷仓，仓库
barrel n.桶；枪管，炮管
barren a.贫瘠的，不毛的，不育的
barrier n.障碍，屏障
batch n.一批，一炉
baton n.棍棒；指挥棒；警棍
battalion n.营；部队；大队(的人)
battery n.电池(组)；一套，一组
bay n.海湾；a.赤褐色的
BCG 卡介苗
beak n.(鸟的)嘴；(器皿的)鸟嘴形口
beam n.横梁；一束，一道v.(喻)微笑；发射；发光
bean n.豆，菜豆
beancurd n.豆腐
beard n.胡子
behalf n.利益；方面；支持
behavior n.行为，举止
belly n.肚，腹部
bellyache n.腹痛
belly-button n.脐
belt n.带，腰带
benign a.慈祥的，温和的；良性的
beriberi n.脚气病
berth n.(车，船)卧铺；座位
beset v.镶嵌；困扰
bestow v.赠与，给与；花费；安置
bet v.赌，打赌n.打赌，赌注
betray v.背叛，出卖；泄露，暴露
beverage n.饮料
bewilder v.使迷惑，难住
bewilderment n.迷惑，混乱
bias n.偏见，偏心；倾向性；爱好
Bible n.圣经
bibliography n.目录学；文献目录
bicarbonate n.碳酸氢盐
bid v.命令，吩咐v／n.报价，投标
bilateral a.两边的，双侧的
bile n.胆汁
biliary a.胆汁的
bind v.绑，包扎，束缚
binocular a.双目的；双筒的n.双目镜
bioactive n.生物活性的
biochemistry n.生物化学
biographer n.传记作家
biopsy n.活组织检查
biostatistics n.生物统计学
biotic a.生命的；生物的
biscuit n.饼干
bit n.一片，一点，一些
bite v.／n.咬，叮n.一口
bitter a.苦的，痛苦的
bizarre a.稀奇古怪的，异乎寻常的
blackmail n.／v.敲诈；勒索
bladder n.囊，膀胱
blade n.叶片，刀片，桨叶
blanch v.漂白；使变白；使(植物)不见日光而变白
blast v.炸掉,摧毁n.爆炸,一阵(风);管乐器或汽笛声
blaze n.火焰,火光v.燃烧
bleach v.漂白n.漂白剂
blend n.混合物v.混合
blister n.水疱v.起疱
bloat v.肿胀；n.肿胀病人
blonde n.金发碧眼的人a.金发碧眼的
blot n.污渍，污点
blouse n.女罩衫
blunder n.大错v.犯大错；慌乱地走
blunt a.(迟)钝的v.使(迟)钝；减弱
blur v.弄脏；(使)模糊不清
blush v.脸红；羞愧
boast v.夸口，夸耀n.自夸，大话
bold a.大胆的，冒失的
bolt n.螺栓，插销v.闩门；脱口说出
bombard v.炮击；轰炸；攻击,痛斥
bond n.结合；契约；债券
bondage n.奴役，束缚
bonus n.额外津贴，奖金
boom n.繁荣,激增,迅速发展
boost v.升;提高
booster n.支持者;升压器,激发剂
booth n.电话亭，货摊
border n.边界，边境v.交界；近似；接近
boredom n.厌烦，乏味，无趣
bosom n.胸；内心；胸怀
botanical a.植物学的，植物的
botany n.植物学
bounce v.弹起，跳起；反跳
bound v.／n.跳，跳跃a.必定的
boundary n.界线，边界
bouquet n.花束
bout n.一回；发作
bow v.／n.鞠躬，点头n.弓;船头
bowel n.肠；内部
boycott v.／n.抵制
bracelet n.手镯
bracket c.支架，托架;括号v.把…括号内
brake v.／n.闸，刹车
bran n.麸；糠
brass n.黄铜，铜器
breach n.破坏；破裂
breakdown n.故障；衰竭；崩溃
breathtaking a.惊人的，激动人心的
breed v.生殖；繁殖；饲养；引起
brew v.酿造；调制；煎(药)
bribe n./v.贿赂
bride n.新娘
brilliant a.光辉的；卓越的
brim n.边，缘
brink n.边；边沿
brisk a.活泼的；敏捷的
bronchitis n.支气管炎
bronchus n.支气管
bronze n.青铜；古铜
broom n.扫帚
broth n.肉汤
bruise n.伤痕，青肿v.碰伤,使成青肿
brutal a.残忍的，令人难受的
buccal a.颊的；口腔的
bucket n.吊桶，水桶
bud n.芽，花苞v.发芽,含苞欲放
buffer n.缓冲；缓冲剂；缓冲器v.缓冲
bug n.虫，臭虫v.窃听
bulge n.v.肿胀；膨出；隆起(物)
bumble v.犯大错；结巴地讲话；踉跄
buoy n.浮标，救生圈
bureau n.署，局
burglar n.窃贼
burial n.埋葬，葬；埋藏
bushel n.蒲式耳
butcher n.屠夫，卖肉者
buttock n.屁股；臀部
button n.扣子，按钮v.扣紧
cabbage n.洋白菜，卷心菜
cable n.缆，索；电缆；电报，v.拍电报
cadre n.干部；骨骼；骨干
cafeteria n.自助餐厅
cage n.笼，鸟笼
calamity n.灾害,祸患,不幸事件
calcity v.钙化
calcium n.钙
calf n.小牛；腓;小腿
callous a.起老茧的;无感觉的;冷淡的
callus n.胼胝；骨痂，接骨质
calorie n.卡(热量单位)
camphor n.樟脑
cancellation n.取消，删除
cancellous a.网眼状的；海绵状的；网状骨质的
candid a.公正的,正直的；坦率的
candidate n.候选人,报考者
cane n.茎；甘蔗；手杖
canine n.犬齿
canker n.溃疡；口疮
cannula n.套管，插管
canteen n.食堂；小卖部
canvas n.粗帆布，油画布
capacitor n.电容器
cape n.海角，岬；披肩
capillary n.毛细血管
capitalism n.资本主义
capitalist n.资本家a.资本主义的
capsule n.胶囊；封壳；密闭小舱
caption n.(章节，文章等)标题；(图片的)解说词；(电影片)字幕
capture v.捕获，捉拿；夺得，攻占
carbohydrate n.碳水化合物；糖类
carbonate n.碳酸盐
carcinogen n.致癌物
carcinogenesis n.致癌作用；癌发生
cardiac a.心脏的
cardinal a.主要的，基本的；深红的
cardiogram n.心电图
cardiology n.心脏病学
cardiovascular a.心血管的
caries n.龋；骨疡；骨疽
carrot n.胡萝卜
cart n.大车，手推车
cartilage n.软骨
cartoon n.草图；动画片
cartridge n.弹药筒；子弹；软片，胶卷
castor n.蓖麻
casual a.偶然的,碰巧的；临时的,非正式的
casualty n.严重伤亡事故;伤亡人员
catabolism n.分解代谢
catalog(ue) n.目录v.编目
catalyst n.催化剂
cataract n.大瀑布；白内障
catastrophe n.大灾难，大变动
category n.种类，类型；范畴
cater v.迎合，投合；供应伙食(for)
catheter n.导管
cathode n.阴极，负极
Catholic a.天主教的n.天主教徒
caustic a.腐蚀性的；n.腐蚀剂
caution n.小心，谨慎；警告v.告诫，警告
cautious a.小心的，谨慎的
celerity n.迅速,敏捷
celery n.芹菜
celiac a.腹的；腹腔的
cellular a.细胞的；由细胞组成的
cellulose n.纤维素
cement n.水泥；牙骨质
centennial a.一百周年的
centigrade a.摄氏温度计的
centrifuge v.离心；分离n.离心机
cephalic a.头的，头部的；头侧的
cereal a.谷类的，谷类植物的n.(pl.)谷类；谷类食物
cerebellum n.小脑
cerebral a.大脑的
cerebrum n.大脑
certainty n.必然的事，必然，肯定
certificate n.证书，证明书
certification n.证明
certify v.证明
cervix n.颈；子宫颈
cessation n.停止，休止
chain n.链，链条；连锁v.拴住
chamber n.房间;议院；会所；腔,心室
champagne n.香槟酒
char v.／n.打杂，(做)家庭杂务
charcoal n.炭，木炭；炭笔
charity n.慈善,仁慈；慈善团体
charm n.魅力,美貌v.迷人，施魔法
charter v.租船，租车n.宪章
chase v.／n.追求，追赶
chemotherapy n.化疗
cheque n.支票
cherish v.珍爱,怀有(爱情)
chestnut n.栗子;栗树
chickenpox n.水痘
chill n.凉气，寒气；寒战v.使寒冷
chilly a.凉快的，寒冷的
chimney n.烟囱
chin n.下巴，颏
chip n.薄片，碎片
chloride n.氯化物
chlorine n.氯(气)
chlorophyl n.叶绿素
choke v.窒息，噎住；堵塞
cholera n.霍乱
cholesterol n.胆固醇
chord n.弦，索，带v.协调，和谐；使和谐
chorus n.／v.合唱
Christian n.基督教徒a.基督教的
chromosome n.染色体
chronic a.慢性的，久病的，长期的
chronicle n.编年史；历史，记事
chyme n.食糜
cigar n.雪茄烟
cigarette n.香烟，纸烟
cilia n.睫；纤毛
cinerary a.灰的；骨灰的
circadian a.生理节奏的
circuit n.电路，环行，巡回
circumscribe v.在…周围划线；限制，约束
circumstance n.情形，环境，状况
circus n.马戏场，杂技场；马戏团
cirrhosis n.硬变；肝硬化
citrus n.柠檬；柑橘
civilization n.文明，文化
civilize v.使文明，开化
clamo(u)r v.n.吵闹，叫喊
clamp n.夹子，夹钳v.夹紧
clap v.拍，轻拍，拍手n.拍手喝彩(声)
clarify v.澄清，阐明
clarity n.清澈，明净
clasp n.扣子，钩子v.扣住;紧握，紧抱
clatter n.得得声，卡塔声v.得得地响，卡塔地响
clavicle n.锁骨
clay n.粘土；肉体，人体
cleavage n.劈开；分裂；卵裂
cleave v.(clave；cleaved)粘着,粘住；坚持；依恋
cleave v.(cleft；cleftorcloven)劈开;把…分成几个小部分
cleft n.裂，裂口
client n.顾客，客户，诉讼委托人
climacteric n.更年期；绝经期；转折点
cling v.粘住，依附，坚持
clip v.夹住，钳n.回形针，夹子
clip v.修剪；剪辑
clone v.克隆
closure n.关闭；罩子
clown n.小丑，丑角
clue n.线索
clump n.丛；簇；群；细菌凝块
clumsy a.笨拙的，愚笨的
clumsy n.串，簇，束
clutch v.抓住，攫住
coach n.客车，长途汽车；私人教师，教练v.辅导，教练
coagulate v.凝结，凝固
coarse a.粗的，粗劣的,粗糙的,粗俗的
coastal a.海岸的，近海岸的
cocaine n.可卡因
coccus n.球菌
coffin n.棺材
coil n.卷，圈v.卷，盘绕
coincide v.相符合，相一致
coincidence n.巧合，符合
coke n.焦炭
colic n.绞痛,急腹痛a.绞痛的;结肠的
colitis n.结肠炎
collaborate v.合作，协作，勾结
collaboration n.合作，协作，勾结
collagen n.胶原(蛋白)
collapse v.倒坍，崩溃；虚脱
collide v.碰撞，冲突，抵触
collocation n.排列；搭配；配置
colloid n.／a.胶体(的)，胶质(的)
colloquial a.口语的，会话的
colon n.结肠
colonel n.(陆军)上校
colonist n.殖民者，移民
colony n.殖民地；群体;菌落
colossal n.巨像的，巨大
column n.柱，柱状物，专栏
coma n.昏迷
comb n.梳子v.梳理
combat v.／n.战斗
combination n.结合，联合；化合
combine v.结合，联合；化合
combustion n.燃烧；氧化
comedy n.喜剧，喜剧场面
comet n.慧星
comic a.喜剧的，滑稽的
commander n.指挥员，司令员
commemorate v.纪念
commence v.开始
commencement n.开始；学位授予典礼(日);毕业典礼(日)
comment n.／v.解说，评论，意见
commerce n.商业
commercial a.商业的，商务的
commission n.委员会，委托，代办,委托书，佣金，手续费
commitment n.托付；信奉；承诺，保证
commodity a.商品，日用品
commonplace n.常见的事物；平常话
commonsense n.常识a.有常识的；明明白白的；一望而知的
communism n.共产主义
communist n.共产党员a.共产主义的
community n.社区，社会
compact a.紧密的，坚实的v.压缩
companion n.同伴，伴侣
comparison n.比较，比喻
compartment n.分隔；空间；隔室
compass n.罗盘，指南针
compassion n.同情；怜悯
compatible a.相容的；一致的
compatriot n.同胞
compel v.强迫,使不得不；迫使屈服
compensate v.补偿,赔偿，酬报
compensation n.补偿,赔偿；补偿物，赔偿费
ompetence n.能力，胜任；权能，权限
competent a.有能力的，能胜任的；应该的；足够的；有权能的
competition n.比赛，竞争
competitive a.比赛的，竞争的
competitor n.竞争者；比赛者；敌手
compile v.编辑，编制；搜集，汇编
complacence n.自满，自鸣得意
complement n.／n.补充，补足；补体.
complexion n.肤色；情况，局面；气质，性格
complicated a.错综复杂的，麻烦的
complication n.复杂，混乱；复杂的情况；并发病，并发症
comply v.照做；遵守
component a.组成的，合成的n.组成部分；组元；分量；元件
compose v.创作，作曲；组成
composer n.作曲者；创造者
comprehend v.了解，领会；包含，包括
comprehensive a.广泛的，综合的；理解的，有理解力的
compress v.压缩，浓缩；n.敷布，压布
comprise v.包含，包括，构成
compromise v.／n.妥协，折衷
compulsive a.强迫的，有强迫力的
compulsory a.强迫的；义务的
concave a.凹的，凹面的
conceal v.隐藏，隐瞒，隐蔽
concede v.承认；让步；给与
conceit n.自负,自高自大;想法,个人的意见
conceive v.设想,构想;以为;怀胎,怀有
conceptual a.概念的
concession n.迁就，让步；特许；特许权；租界
concise a.简明的，简洁的，简要的
concomitant a.伴随的；伴发的
concord n.和谐；协调
concrete n.混凝土a.具体的；混凝土制的
condemn v.谴责，指责；判刑，宣告有罪
condense v.压缩，浓缩，精简；使冷凝
condenser n.冷凝器，凝结器；电容器
conducive a.有助于…的，有益的
conduct n.行为，品行v.引导,指挥；传电，传热
conductivity n.传导率；传导性
conductor n.领队，乐队指挥；售票员,列车员；导体
conduit n.管道；导管
confer v.授予；协商
conference n.会议，讨论会
confess v.承认，坦白，忏悔
confine v.限制，局限于；管制，禁闭
confront v.使面对，使面临；正视
congenital a.先天的，天生的
congest v.充满；拥挤；充血
congestion n.充满；拥挤；充血
congress n.大会；国会,议会
conjecture v.推测；假设
conjoin v.结合，连接
conjugate n.结合，使成对
conjunction n.结合，联合；连接;关联；连接词
conjunctiva n.结膜
conjuncture n.结合；紧要关头
conquer v.征服，战胜
conquest n.征服，赢得
conscience n.良心，良知
conscientious a.认真的；诚心诚意的；谨慎的
conscious a.有意识的，知觉的
consecutive a.连续的，连贯的；顺序的
consensus n.一致；舆论；同感，交感
consent v.／n.同意，答应
consequence n.后果，影响；重要性
consequent a.作为结果的，随后发生的
n.当然的结果，推论 
conservation n.保存，保护；守恒
conserve v.保存，保藏；保养
considerate a.考虑周到的，体谅的
consideration n.考虑，思考；体谅
consistent a.前后一致的，始终如一的
console v.安慰，慰问
consolidate v.巩固，加强；合并，联合
consonance n.调和，一致；共鸣.
conspicuous a.明显的；惹人注目的
constipation n.便秘
constituent a.形成的，组成的n.选民；成分
constitute v.组成，构成
constitution n.构成，机构,成分,体格,体质；宪法
constraint n.强逼，强制；紧张感，紧张状态
constrict v.压缩，收缩；阻塞
consult v.商量，咨询；会诊
consultant n.请教者；商议者；顾问,会诊医生
consume v.消费，消耗
consumption n.消费，消耗；肺结核；结核
contact v.／n.接触，联系，交往
contagious a.传染的
contain v.容纳,含有，装有
container n.容器,集装箱
contaminate v.弄脏,污染；传染
contamination n.污染,沾染物
contemplate v.注视,沉思；期待,仔细考虑
contemporary a.现代的，当代的n.同时代的人，同年龄的人
contempt n.轻蔑，藐视；受辱,丢脸
contend v.竞争，斗争；争论
content n.内容，目录；容量，含量
n.／a.满足(的)，甘愿(的) 
contest v.竞赛，比赛；争夺
context n.上下文，前后关系
continence n.自制，节制；节欲
continent n.大陆，洲
contingent a.可能(发生)的，偶然的，意外的；应急的n.意外事件；代表团；小分队
contour n.轮廓，外形
contraceptive a.避孕的n.避孕药物／用具
contract n.契约，合同，包工v.收缩；得(病)
contractile a.可收缩的
contractor n.订约人；承包人；收缩肌
contradict v.反驳；同…矛盾，同…抵触
contradiction v.矛盾；反驳
contraindicate v.禁忌
contralateral a.对侧的
contrast v.对照,对比v.形成对比,使对照
controversial a.争论的；爱争论的；引起争论的
controversy n.争论，论战；争吵
convalescent a.恢复健康的，渐愈的；恢复期的n.恢复中的病人
convenience n.便利，方便；(pl.)便利设备
convenient a.便利的，方便的
convention n.大会，会议；习俗，惯例；公约，协定
conventional a.惯例的，常规的,传统的;协定的
converge v.会聚，集中
conversation n.会话，谈话
convey v.运送，运输；传达，传播
conviction n.定罪；深信，确信
convince v.使信服，使确信
convulsion n.震动；痉挛，惊厥
cooper n.制桶工人，修桶工人v.修桶；挫败；毁掉
coordinate a.同等的，对等的，并列的v.使成为同等；使协调
coordination n.同等，调整；协作；协调
cope v.应付，对付
copious a.丰富的，大量的
copyright n.版权，著作权
cord n.绳，索；索状组织
cordial a.诚恳的，亲切的，热诚的;刺激的；强心的n.兴奋剂
cork n.软木塞
cornea n.角膜
coronary a.冠状的
corporate a.社团的；共同的；全体的
corporation n.团体，公司
corps n.军团，部队
corpse n.死尸，尸体
corpuscle n.小体，细胞，血球；微粒
corridor n.走廊
corrosion n.腐蚀，侵蚀；锈
corrupt a.腐化的，贪污的v.腐蚀；贿赂
cortex n.皮质
cosmetic n.化妆品a.化妆用的，美容的
cosmic a.宇宙的，广大无边的
cosmos n.宇宙；秩序，和谐
costal a.肋骨的
costume n.服装，戏装
cottage n.村舍，别墅
council n.理事会，委员会，议事机构
counsel n.商议；忠告；法律顾问，辩护人v.劝告，忠告
countenance a.面部表情；脸色
county n；郡，县
courteous a.有礼貌的
courtesy n.礼貌；殷勤；好意
cousin n.堂(表)兄弟，堂(表)姐妹
covert a.隐藏的；暗地里的
coward n.懦夫
cozy n.暖和舒服的；舒适的
crack n.裂纹，龟裂v.破裂，砸开；发爆炸声
cradle n.摇篮；婴儿时期
cramp n.夹，钳；(病性)痉挛，绞痛
crane n.鹤；起重机v.伸(颈)；用起重机起吊
cranium v.头盖(骨)；颅
crave v.渴望，热望
credulous a.轻信的
creed n.信条；信念,纲领
cripple n.跛子；残废的人(或动物)
crisis n.危机
crisp a.松脆的；清新的，爽快的；干脆的v.使发脆
criterion n.标准，准则
criticism n.批评；评论
criticize v.批评；评论
crook n.钩；钩状物
crooked a.弯的，歪的；扭曲的,不正当的
crown n.王冠；牙冠
crucial a.决定性的，紧要关头的；严酷的，极困难的
cruel a.残酷的，残忍的
cruelty n.残酷，残忍；残酷行为
cruise v.巡航；巡游；(出租汽车)兜客n.巡航，巡游
crumb n.碎屑；面包屑；点，滴，少许v.弄碎
crumple v.把…弄皱；打垮
crust n.面包皮；外壳;痂皮
crutch n.拐杖；支柱v.支撑
crux a.十字形；难事,关键,最重要点
crotherapy n.冷冻疗法
cuckoo n.杜鹃，布谷鸟
cucumber n.黄瓜
cue n.(人或车等候着的)长队；发辫
cuff n.袖口；护腕
cultivate v.耕作，栽培，养殖；培养
cultural a.文化的；教养的；栽培的
cunning a.／n.狡猾(的)，狡诈(的)
cupboard n.碗柜，木橱
curb n.／v.控制、抑制、约束
curiosity n.好奇心；珍品；古玩
curl v.卷曲，蜷缩n.卷发
curriculum n.学校的全部课程；(一门)课程
curse v.诅咒,咒骂
curtain n.窗帘,幕(布)
curve v.弄弯,使成曲线n.曲线，弯曲
cushion n.垫子，坐垫
cusp n.尖，尖端
customary a.通常的，常例的，习惯的
cutaneous a.皮的
cute a.伶俐的，逗人爱的
cylinder n.圆柱体，圆筒；气缸
cyst n.囊(肿)
cytogenetics n.细胞遗传学
cytology n.细胞学
dagger n.匕首；短剑；剑号
dairy n.牛奶场，奶店
damn n.／v.诅咒
dander n.头皮屑；怒火
dandruff n.头垢；头皮屑
dangle v.摇晃地悬挂着
datum n.(p1.)资料，材料
debris n.瓦砾堆，废墟,碎片
decay v.／n.腐朽，腐烂，衰败
deceit n.欺骗；虚假；欺骗行为
deceive v.欺骗，蒙蔽
decent a.体面的，像样的,相当好的;正派的，得体的
deception n.欺骗，蒙蔽；骗术
decibel n.分贝
deciliter (decilitre)n.分升，十分之一升
decimal a.小数的，十进制的
deck n.甲板；桥面；层面
decolourize v.使…脱色；将…漂白
decompensate v.代偿失调
decompose v.分解，使腐败，使腐烂
decorate v.装饰，装潢，布置
decubitus n.褥疮
dedicate v.奉献，献身,致力
deduce v.演绎，推演,推断
deduction n.推论；演绎,扣除
deem v.认为，相信
defeat v.／n.战胜，挫败
defecate v.澄清，净化；排粪，通大便
defect n.缺点，缺陷
defence n.防御，保卫；(pl.)防务，工事
defend v.保卫，防守；辩护；答辩
defense n.防御，保卫；防务(pl.)防御工事；辩护
defensive a.防御的，保卫的n.防御,守势
deference n.听从；敬重
deferent a.输送的;输出的;输精的
defervescence n.退热
deficiency n.缺乏，不足；营养缺乏症
deficit n.短缺；赤字
definite a.明确的，确定的，限定的
definition n.定义，解释；明确性
deflate v.排放…(空)气；解除气胀
deflection n.偏离；偏转
deform v.损坏…的形状，使…变形
deformation n.形状损坏；变形；畸形
deformity n.变形，畸形；畸形的人
defy v.向…挑战；公然对抗，蔑视
degenerate v.蜕化；变质；变性
degradation n.降级；低落；退化；陵削；降解；衰变
degression n.下降；递减
dehydration n.脱水
delegate n.代表
deleterious a.(对身心)有害的；有毒的
deliberate a.深思熟虑的，审慎的，蓄意的v.仔细考虑
deliberately ad.审慎地；故意地，蓄意地
